,Date of Sale,Product,Product Category,Quantity,Total Price,Total Profit,Payment Type,Customer Age Category,Customer Location,Customer ID,Customer Gender
0,2024-01-01,White Short Sleeve Oxford Shirt,Men → Shirts,1,€53.00,€20.14,Credit Card,18-24,Dublin,3375,Male
1,2024-01-01,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,€46.00,€18.40,CC,25-34,Dublin,3997,Female
2,2024-01-01,1000 Thread Count Cotton Sateen Collection,Homeware → Bed Bath,3,€267.00,€93.45,Credit Card,35-44,Tipperary,6419,Female
3,2024-01-01,Black Loose Fit Jeans with Stretch,Men → Jeans,1,€29.00,€11.60,Credit Card,35-44,Cork,18572,Female
4,2024-01-01,Mola Headlamp,Homeware → Design,2,€86.00,€34.40,CC,25-34,Donegal,15441,Female
5,2024-01-02,Pink Slim Fit Double Cuff Shirt,Men → Shirts,1,€29.00,€11.02,Credit Card,35-44,Carlow,14644,Female
6,2024-01-02,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,CC,65+,Sligo,5681,Female
7,2024-01-02,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,2,€35.00,€17.85,Debit Card,35-44,Clare,11222,Female
8,2024-01-02,Dark Blue Belted Jeans,Men → Jeans,1,€29.00,€11.60,Credit Card,35-44,Limerick,7544,Female
9,2024-01-02,Black Single Cuff Shirt,Men → Shirts,1,€42.00,€15.96,Credit Card,35-44,Dublin,12791,Female
10,2024-01-02,Soft Velour Eyelet Lined Curtains,Homeware → Design,4,€424.00,€169.60,Credit Card,18-24,Galway,5794,Female
11,2024-01-02,Orange/Navy Shorts Three Pack,Children → Girls Wear,2,€33.00,€16.83,Credit Card,55-64,Meath,15025,Prefer not to say
12,03 Jan 2024,Multi Floral Print Short Dress,Women → Dresses,1,€31.00,€15.50,Credit Card,18-24,Cork,10716,Male
13,2024-01-03,Rose Gold Two Tier Drainer,Homeware → Design,2,€62.00,€24.80,Credit Card,25-34,Dublin,8878,Prefer not to say
14,2024-01-03,White Short Sleeve Oxford Shirt,Men → Shirts,1,€53.00,€20.14,CC,25-34,Limerick,3894,Female
15,2024-01-03,Grey Marl Panda Face Crew,Children → Boys Wear,3,€34.50,€17.59,Credit Card,45-54,Monaghan,15434,Female
16,04 Jan 2024,Black Single Cuff Shirt,Men → Shirts,2,€84.00,€31.92,Credit Card,35-44,Donegal,10094,Prefer not to say
17,2024-01-04,Red/Charcoal Joggers Two Pack,Children → Boys Wear,1,€15.00,€7.65,Credit Card,45-54,Dublin,15034,Female
18,2024-01-04,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,€41.40,€13.80,Credit Card,35-44,Wexford,3803,Female
19,2024-01-04,Black Single Cuff Shirt,Men → Shirts,3,€126.00,€47.88,Credit Card,18-24,Dublin,8600,Male
20,04 Jan 2024,Fluro Shorts Two Pack,Children → Boys Wear,1,€17.50,€8.93,Credit Card,55-64,Meath,7797,Female
21,04 Jan 2024,Double Wall Mug,Homeware → Design,1,€12.50,€5.00,Credit Card,35-44,Kildare,5678,Male
22,2024-01-04,Mid Blue Straight Fit Jeans,Men → Jeans,2,€68.40,€22.80,Debit Card,45-54,Dublin,7466,Male
23,2024-01-05,Grey Marl Panda Face Crew,Children → Boys Wear,-1,€11.50,€5.87,Debit Card,35-44,Dublin,5578,Female
24,05 Jan 2024,Black Cigarette Trousers,Men → Trousers,1,€24.00,€11.76,Credit Card,35-44,Dublin,5912,Female
25,05 Jan 2024,Lyle & Scott Oxford Shirt,Men → Shirts,3,€189.00,€71.82,Credit Card,45-54,Cork,8991,Female
26,2024-01-05,Red/Charcoal Joggers Two Pack,Children → Boys Wear,1,€ 13.50,€6.15,Credit Card,45-54,Clare,11872,Male
27,05 Jan 2024,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,1,€17.50,€8.93,Credit Card,45-54,Dublin,1528,Male
28,2024-01-05,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,3,€52.50,€26.77,Credit Card,55-64,Dublin,15322,Female
29,2024-01-05,Blue Floral Embroidered Mac,Children → Girls Wear,1,€35.00,€17.85,Pay Pal,25-34,Cork,9319,Female
30,2024-01-05,Black Cigarette Trousers,Men → Trousers,2,€48.00,€23.52,Debit Card,35-44,Dublin,10606,Female
31,2024-01-06,Leather Court Shoes,Men → Shoes,3,€111.00,€49.95,Credit Card,45-54,Dublin,13437,Male
32,2024-01-06,Black Cigarette Trousers,Men → Trousers,1,€24.00,€11.76,Voucher,45-54,Donegal,13987,Male
33,2024-01-06,Navy Suede Loafers,Men → Shoes,1,€35.00,€15.75,Credit Card,55-64,Dublin,17712,Female
34,2024-01-07,Lyle & Scott Oxford Shirt,Men → Shirts,1,€63.00,€23.94,Credit Card,18-24,Dublin,5373,Male
35,2024-01-07,Black Signature Point Court Shoes,Men → Shoes,1,€44.00,€19.80,Credit Card,55-64,Roscommon,8653,Female
36,2024-01-07,Mid Blue Straight Fit Jeans,Men → Jeans,2,€76.00,€30.40,Debit Card,35-44,Mayo,9084,Male
37,2024-01-07,Rose Gold Two Tier Drainer,Homeware → Design,2,€62.00,€24.80,Credit Card,25-34,Dublin,10409,Female
38,2024-01-07,Blue Stripe Snuggle Fit Pyjamas,Children → Boys Wear,5,€ 92.50,€47.17,Credit Card,18-24,Louth,13716,Male
39,2024-01-08,Lilac/Mint Long Sleeve Shirts,Children → Girls Wear,2,€52.00,€26.52,Credit Card,35-44,Dublin,1231,Female
40,2024-01-08,White Short Sleeve Oxford Shirt,Men → Shirts,1,€53.00,€20.14,Debit Card,45-54,Dublin,18219,Female
